metric_id,metric_category
17000,Chart Review
17004,Chart Review
17005,Chart Review
17006,Chart Review
17008,Chart Review
17011,Chart Review
17012,Chart Review
17014,Chart Review
17015,Chart Review
17021,Chart Review
17022,Chart Review
17027,Chart Review
17030,Chart Review
17228,Chart Review
17231,Chart Review
17250,Chart Review
17251,Chart Review
17252,Chart Review
17256,Chart Review
17281,Chart Review
49052,Chart Review
49054,Chart Review
72000,Chart Review
72001,Chart Review
94023,Chart Review
49005,Discharge
20080,Imaging
17045,Navigator
17047,Navigator
17104,Navigator
17128,Navigator
17148,Navigator
20620,Navigator
49019,Navigator
17202,Note Entry
34010,Note Entry
60010,Note Entry
60012,Note Entry
17007,Note Review
17227,Note Review
34005,Note Review
60005,Note Review
94013,Note Review
94060,Note Review
17108,Order Entry
17162,Order Entry
17225,Order Entry
17234,Order Entry
34118,Order Entry
34119,Order Entry
34127,Order Entry
34150,Order Entry
17016,Results Review
17257,Results Review
17258,Results Review
94018,Results Review
94050,Results Review
17000,Chart Review
17004,Chart Review
17005,Chart Review
17006,Chart Review
17008,Chart Review
17011,Chart Review
17012,Chart Review
17014,Chart Review
17015,Chart Review
17021,Chart Review
17022,Chart Review
17027,Chart Review
17030,Chart Review
17228,Chart Review
17231,Chart Review
17250,Chart Review
17251,Chart Review
17252,Chart Review
17256,Chart Review
17281,Chart Review
49052,Chart Review
49054,Chart Review
72000,Chart Review
72001,Chart Review
94023,Chart Review
49005,Discharge
20080,Imaging
17045,Navigator
17047,Navigator
17104,Navigator
17128,Navigator
17148,Navigator
20620,Navigator
49019,Navigator
17202,Note Entry
34010,Note Entry
60010,Note Entry
60012,Note Entry
17007,Note Review
17227,Note Review
34005,Note Review
60005,Note Review
94013,Note Review
94060,Note Review
95040,Note Review
17108,Order Entry
17162,Order Entry
17225,Order Entry
17234,Order Entry
34118,Order Entry
34119,Order Entry
34127,Order Entry
34150,Order Entry
17016,Results Review
17257,Results Review
17258,Results Review
94018,Results Review
94050,Results Review
95050,Results Review
17000,Chart Review
17004,Chart Review
17005,Chart Review
17006,Chart Review
17008,Chart Review
17011,Chart Review
17012,Chart Review
17014,Chart Review
17015,Chart Review
17021,Chart Review
17022,Chart Review
17027,Chart Review
17030,Chart Review
17228,Chart Review
17231,Chart Review
17250,Chart Review
17251,Chart Review
17252,Chart Review
17256,Chart Review
17281,Chart Review
49052,Chart Review
72000,Chart Review
72001,Chart Review
94023,Chart Review
49005,Discharge
20080,Imaging
17045,Navigator
17047,Navigator
17104,Navigator
17128,Navigator
17148,Navigator
20620,Navigator
17202,Note Entry
34010,Note Entry
60010,Note Entry
60012,Note Entry
17007,Note Review
17227,Note Review
34005,Note Review
60005,Note Review
94013,Note Review
94060,Note Review
95040,Note Review
17108,Order Entry
17162,Order Entry
17225,Order Entry
17234,Order Entry
34118,Order Entry
34119,Order Entry
34127,Order Entry
34150,Order Entry
17016,Results Review
17258,Results Review
94018,Results Review
94050,Results Review
95050,Results Review
17000,Chart Review
17004,Chart Review
17005,Chart Review
17006,Chart Review
17008,Chart Review
17011,Chart Review
17012,Chart Review
17014,Chart Review
17015,Chart Review
17021,Chart Review
17022,Chart Review
17027,Chart Review
17030,Chart Review
17228,Chart Review
17231,Chart Review
17250,Chart Review
17251,Chart Review
17252,Chart Review
17256,Chart Review
17281,Chart Review
49052,Chart Review
49054,Chart Review
72000,Chart Review
72001,Chart Review
94023,Chart Review
49005,Discharge
20080,Imaging
17045,Navigator
17047,Navigator
17104,Navigator
17128,Navigator
17148,Navigator
20620,Navigator
17202,Note Entry
34010,Note Entry
60010,Note Entry
60012,Note Entry
94014,Note Entry
17007,Note Review
17227,Note Review
34005,Note Review
60005,Note Review
94006,Note Review
94013,Note Review
94060,Note Review
95040,Note Review
17108,Order Entry
17162,Order Entry
17225,Order Entry
17234,Order Entry
34118,Order Entry
34119,Order Entry
34127,Order Entry
34150,Order Entry
17016,Results Review
17258,Results Review
94018,Results Review
94050,Results Review
95050,Results Review